timestamp,value
2020-06-13 02:50:23 +0900,79.5536
2020-06-13 02:55:10 +0900,81
2020-06-13 02:57:08 +0900,85
2020-06-13 03:02:43 +0900,89
2020-06-13 03:08:34 +0900,89
2020-06-13 03:14:43 +0900,90
2020-06-13 03:19:02 +0900,88
2020-06-13 03:22:03 +0900,88
2020-06-13 03:28:42 +0900,88
2020-06-13 03:34:11 +0900,86
2020-06-13 03:38:34 +0900,86.2921
2020-06-13 03:38:24 +0900,87
2020-06-13 03:43:12 +0900,89
2020-06-13 03:46:39 +0900,85
2020-06-13 03:52:01 +0900,93
2020-06-13 03:52:05 +0900,95
2020-06-13 03:52:06 +0900,95
2020-06-13 03:52:15 +0900,99
2020-06-13 03:52:18 +0900,102
2020-06-13 03:52:21 +0900,100
2020-06-13 03:52:27 +0900,96
2020-06-13 03:52:34 +0900,98
2020-06-13 03:52:40 +0900,99
2020-06-13 03:52:45 +0900,100
2020-06-13 03:54:24 +0900,95
2020-06-13 03:54:28 +0900,98
2020-06-13 03:54:33 +0900,103
2020-06-13 03:54:39 +0900,97
2020-06-13 03:54:40 +0900,98
2020-06-13 03:54:48 +0900,101
2020-06-13 03:54:50 +0900,101
2020-06-13 03:54:56 +0900,103
2020-06-13 03:51:41 +0900,90
2020-06-13 14:28:17 +0900,92
2020-06-13 14:32:46 +0900,103
2020-06-13 14:28:55 +0900,80
2020-06-13 14:34:25 +0900,58
2020-06-13 14:38:50 +0900,82
2020-06-13 14:40:32 +0900,83
2020-06-13 14:46:22 +0900,74
2020-06-13 14:50:50 +0900,89
2020-06-13 14:59:26 +0900,109
2020-06-13 15:03:11 +0900,96
2020-06-13 15:09:12 +0900,97
2020-06-13 15:19:12 +0900,106
2020-06-13 15:11:48 +0900,94
2020-06-13 15:24:26 +0900,89
2020-06-13 15:28:03 +0900,96
2020-06-13 15:33:44 +0900,100
2020-06-13 15:35:36 +0900,95
2020-06-13 15:40:21 +0900,101
2020-06-13 15:46:03 +0900,96
2020-06-13 15:53:41 +0900,93
2020-06-13 15:58:41 +0900,98
2020-06-13 16:03:06 +0900,104
2020-06-13 16:08:51 +0900,102.4
2020-06-13 16:07:26 +0900,99
2020-06-13 16:14:10 +0900,91
2020-06-13 16:15:28 +0900,97
2020-06-13 16:23:30 +0900,92
2020-06-13 16:26:33 +0900,97
2020-06-13 16:31:33 +0900,97
2020-06-13 16:37:43 +0900,93
2020-06-13 16:45:05 +0900,95
2020-06-13 16:49:50 +0900,96
2020-06-13 16:53:31 +0900,96
2020-06-13 17:00:16 +0900,94
2020-06-13 17:02:02 +0900,90.7317
2020-06-13 17:03:04 +0900,95
2020-06-13 17:05:52 +0900,93
2020-06-13 17:15:17 +0900,100
2020-06-13 17:19:49 +0900,97
2020-06-13 17:20:52 +0900,99
2020-06-13 17:26:14 +0900,96
2020-06-13 17:31:31 +0900,94
2020-06-13 17:36:42 +0900,93
2020-06-13 17:44:26 +0900,91
2020-06-13 17:49:41 +0900,102
2020-06-13 17:51:48 +0900,97
2020-06-13 17:56:47 +0900,74
2020-06-13 18:06:07 +0900,89
2020-06-13 18:11:30 +0900,85
2020-06-13 18:19:29 +0900,83
2020-06-13 18:22:55 +0900,84
2020-06-13 18:27:25 +0900,91
2020-06-13 18:31:11 +0900,87
2020-06-13 18:38:23 +0900,87
2020-06-13 18:43:57 +0900,78
2020-06-13 18:47:29 +0900,77
2020-06-13 18:58:15 +0900,114
2020-06-13 18:51:16 +0900,84
2020-06-13 19:07:39 +0900,112
2020-06-13 19:02:46 +0900,82
2020-06-13 19:22:38 +0900,93
2020-06-13 19:26:03 +0900,84
2020-06-13 19:34:13 +0900,89
2020-06-13 19:38:00 +0900,86
2020-06-13 19:42:23 +0900,88.7861
2020-06-13 19:41:23 +0900,81
2020-06-13 19:48:51 +0900,76
2020-06-13 19:52:02 +0900,80
2020-06-13 19:56:44 +0900,86
2020-06-13 20:01:36 +0900,81
2020-06-13 20:09:22 +0900,84
2020-06-13 20:15:16 +0900,87
2020-06-13 20:16:22 +0900,83
2020-06-13 20:22:08 +0900,107
2020-06-13 20:28:48 +0900,92
2020-06-13 20:30:49 +0900,90
2020-06-13 20:40:02 +0900,87
2020-06-13 20:43:13 +0900,87
2020-06-13 20:47:07 +0900,81
2020-06-13 20:51:13 +0900,80
2020-06-13 20:58:51 +0900,81
2020-06-13 21:00:55 +0900,77
2020-06-13 21:05:39 +0900,91
2020-06-13 21:19:45 +0900,97
2020-06-13 21:21:36 +0900,98
2020-06-13 21:28:25 +0900,96
2020-06-13 21:31:12 +0900,100
2020-06-13 21:40:05 +0900,95
2020-06-13 21:44:55 +0900,89
2020-06-13 21:49:04 +0900,91
2020-06-13 21:54:25 +0900,92
2020-06-13 21:58:49 +0900,89
2020-06-13 22:03:20 +0900,87
2020-06-13 22:08:21 +0900,92
2020-06-13 22:14:07 +0900,81
2020-06-13 22:17:26 +0900,96
2020-06-13 22:25:05 +0900,85
2020-06-13 22:26:15 +0900,87
2020-06-13 22:34:38 +0900,95
2020-06-13 22:35:54 +0900,89
2020-06-13 22:45:17 +0900,66
2020-06-13 22:47:36 +0900,84.8619
2020-06-13 22:47:30 +0900,93
2020-06-13 22:51:34 +0900,86
2020-06-13 22:58:27 +0900,95
2020-06-13 23:04:14 +0900,89
2020-06-13 23:08:27 +0900,90
2020-06-13 23:11:34 +0900,77
2020-06-13 23:16:18 +0900,92
2020-06-13 23:24:41 +0900,84
2020-06-13 23:27:32 +0900,88
2020-06-13 23:31:49 +0900,99
2020-06-13 23:37:00 +0900,87
2020-06-13 23:45:17 +0900,84
2020-06-13 23:46:37 +0900,86
2020-06-13 23:52:53 +0900,86
2020-06-13 23:57:12 +0900,95
2020-06-14 00:00:34 +0900,82
2020-06-14 00:05:22 +0900,84
2020-06-14 00:13:34 +0900,83
2020-06-14 00:16:39 +0900,91
2020-06-14 00:23:35 +0900,81
2020-06-14 00:29:54 +0900,91
2020-06-14 00:36:08 +0900,114
2020-06-14 00:48:25 +0900,110
2020-06-14 00:31:03 +0900,91
2020-06-14 00:56:38 +0900,107
2020-06-14 00:52:36 +0900,81
2020-06-14 01:10:04 +0900,99
2020-06-14 01:13:25 +0900,97
2020-06-14 01:17:18 +0900,92
2020-06-14 01:22:26 +0900,98
2020-06-14 01:27:30 +0900,97
2020-06-14 01:39:02 +0900,88
2020-06-14 01:41:17 +0900,102
2020-06-14 01:49:10 +0900,96
2020-06-14 02:04:09 +0900,129
2020-06-14 01:50:31 +0900,94
2020-06-14 02:10:47 +0900,98
2020-06-14 02:18:56 +0900,97
2020-06-14 02:24:24 +0900,98
2020-06-14 02:26:22 +0900,102
2020-06-14 02:34:54 +0900,99
2020-06-14 02:39:29 +0900,105
2020-06-14 02:43:52 +0900,96
2020-06-14 02:47:26 +0900,96
2020-06-14 02:54:24 +0900,98
2020-06-14 02:57:09 +0900,77
2020-06-14 03:03:27 +0900,90
2020-06-14 03:07:26 +0900,92
2020-06-14 03:14:37 +0900,91
2020-06-14 03:15:42 +0900,92
2020-06-14 03:23:25 +0900,92
2020-06-14 03:26:27 +0900,94
2020-06-14 03:33:48 +0900,96
2020-06-14 03:38:45 +0900,92
2020-06-14 03:41:19 +0900,100
2020-06-14 03:47:57 +0900,96
2020-06-14 03:51:17 +0900,98
2020-06-14 03:58:27 +0900,100
2020-06-14 04:00:59 +0900,85
2020-06-14 04:09:59 +0900,98
2020-06-14 04:14:38 +0900,90
2020-06-14 04:18:30 +0900,83
2020-06-14 04:20:20 +0900,89
2020-06-14 04:28:57 +0900,92
2020-06-14 04:35:11 +0900,89
2020-06-14 04:37:29 +0900,85
2020-06-14 04:41:19 +0900,86
2020-06-14 04:45:37 +0900,77
2020-06-14 04:55:11 +0900,84
2020-06-14 04:59:48 +0900,79
2020-06-14 05:05:13 +0900,78
2020-06-14 05:07:14 +0900,88
2020-06-14 05:15:06 +0900,79
2020-06-14 05:16:23 +0900,77
2020-06-14 05:20:33 +0900,74
2020-06-14 05:25:53 +0900,73
2020-06-14 05:30:43 +0900,70
2020-06-14 05:35:20 +0900,69
2020-06-14 05:40:22 +0900,69
2020-06-14 05:45:58 +0900,68
2020-06-14 05:50:20 +0900,68
2020-06-14 05:55:43 +0900,67
2020-06-14 06:00:20 +0900,67
2020-06-14 06:08:08 +0900,76.609
2020-06-14 06:05:34 +0900,67
2020-06-14 06:12:03 +0900,67
2020-06-14 06:15:30 +0900,64
2020-06-14 06:20:20 +0900,65
2020-06-14 06:25:25 +0900,66
2020-06-14 06:30:55 +0900,65
2020-06-14 06:35:35 +0900,65
2020-06-14 06:40:33 +0900,67
2020-06-14 06:46:11 +0900,66
2020-06-14 06:52:51 +0900,74
2020-06-14 06:56:31 +0900,71
2020-06-14 07:03:56 +0900,73
2020-06-14 07:09:51 +0900,76
2020-06-14 07:12:03 +0900,77
2020-06-14 07:15:32 +0900,81
2020-06-14 07:23:06 +0900,76
2020-06-14 07:25:54 +0900,85
2020-06-14 07:32:42 +0900,77
2020-06-14 07:38:49 +0900,74
2020-06-14 07:44:33 +0900,74
2020-06-14 07:47:54 +0900,74
2020-06-14 07:52:59 +0900,75
2020-06-14 07:56:06 +0900,78
2020-06-14 08:01:27 +0900,82
2020-06-14 08:08:09 +0900,73
2020-06-14 08:14:50 +0900,78
2020-06-14 08:20:08 +0900,78
2020-06-14 08:21:14 +0900,74
2020-06-14 08:27:52 +0900,74
2020-06-14 08:31:47 +0900,76
2020-06-14 08:37:56 +0900,85
2020-06-14 08:50:20 +0900,86
2020-06-14 08:58:06 +0900,80
2020-06-14 09:03:45 +0900,100
2020-06-14 09:05:49 +0900,97
2020-06-14 09:14:01 +0900,86
2020-06-14 09:16:35 +0900,87
2020-06-14 09:20:51 +0900,87
2020-06-14 09:29:03 +0900,85
2020-06-14 09:34:05 +0900,90
2020-06-14 09:35:45 +0900,87
2020-06-14 09:40:19 +0900,90
2020-06-14 09:49:36 +0900,89
2020-06-14 09:52:45 +0900,82
2020-06-14 09:58:11 +0900,85
2020-06-14 10:05:00 +0900,89
2020-06-14 10:10:10 +0900,91
2020-06-14 10:13:20 +0900,91
2020-06-14 10:19:45 +0900,95
2020-06-14 10:23:54 +0900,90
2020-06-14 10:28:11 +0900,87
2020-06-14 10:33:35 +0900,88
2020-06-14 10:37:15 +0900,88.0237
2020-06-14 10:36:41 +0900,89
2020-06-14 10:42:51 +0900,89
2020-06-14 10:46:55 +0900,92
2020-06-14 10:54:44 +0900,88
2020-06-14 10:57:37 +0900,93
2020-06-14 11:02:29 +0900,94
2020-06-14 11:07:27 +0900,93
2020-06-14 11:11:49 +0900,89
2020-06-14 11:16:04 +0900,93
2020-06-14 11:23:59 +0900,105
2020-06-14 11:29:04 +0900,97
2020-06-14 11:33:37 +0900,97
2020-06-14 11:37:24 +0900,92
2020-06-14 11:40:27 +0900,92
2020-06-14 11:49:50 +0900,92
2020-06-14 11:52:14 +0900,94
2020-06-14 11:56:19 +0900,92
2020-06-14 12:01:24 +0900,92
2020-06-14 12:06:20 +0900,95
2020-06-14 12:14:36 +0900,99
2020-06-14 12:19:15 +0900,91
2020-06-14 12:22:04 +0900,90
2020-06-14 12:26:01 +0900,94
2020-06-14 12:31:22 +0900,89
2020-06-14 12:44:04 +0900,83
2020-06-14 12:48:16 +0900,91
2020-06-14 12:51:06 +0900,88
2020-06-14 12:55:39 +0900,91
2020-06-14 13:04:50 +0900,92
2020-06-14 13:06:07 +0900,86
2020-06-14 13:10:39 +0900,90
2020-06-14 13:15:55 +0900,91
2020-06-14 13:23:50 +0900,95
2020-06-14 13:28:45 +0900,88
2020-06-14 13:35:14 +0900,88
2020-06-14 13:38:07 +0900,87
2020-06-14 13:42:11 +0900,102
2020-06-14 14:02:09 +0900,94
2020-06-14 14:28:22 +0900,80
2020-06-14 14:32:04 +0900,69
2020-06-14 14:39:35 +0900,114
2020-06-14 14:46:05 +0900,107
2020-06-14 14:52:30 +0900,108
2020-06-14 14:59:09 +0900,104
2020-06-14 15:01:03 +0900,108
2020-06-14 15:09:56 +0900,108.936
2020-06-14 15:09:21 +0900,120
2020-06-14 15:23:06 +0900,117
2020-06-14 15:33:40 +0900,108
2020-06-14 15:39:05 +0900,105
2020-06-14 15:44:08 +0900,106
2020-06-14 15:51:33 +0900,98
2020-06-14 15:58:06 +0900,101
2020-06-14 16:03:31 +0900,100
2020-06-14 16:07:03 +0900,107
2020-06-14 16:25:17 +0900,110
2020-06-14 16:39:45 +0900,104
2020-06-14 16:41:54 +0900,98
2020-06-14 16:49:44 +0900,95
2020-06-14 16:53:43 +0900,107
2020-06-14 16:59:49 +0900,93
2020-06-14 17:02:53 +0900,96
2020-06-14 17:06:22 +0900,89
2020-06-14 17:11:44 +0900,96
2020-06-14 17:15:23 +0900,92
2020-06-14 17:20:21 +0900,85
2020-06-14 17:33:09 +0900,94
2020-06-14 17:39:30 +0900,93
2020-06-14 17:44:29 +0900,91
2020-06-14 17:47:46 +0900,96
2020-06-14 17:52:11 +0900,100
2020-06-14 17:59:31 +0900,98
2020-06-14 18:03:46 +0900,56
2020-06-14 18:03:50 +0900,101
2020-06-14 18:03:55 +0900,99
2020-06-14 18:03:59 +0900,96
2020-06-14 18:04:01 +0900,98
2020-06-14 18:02:41 +0900,100
2020-06-14 18:05:56 +0900,98
2020-06-14 18:13:11 +0900,92
2020-06-14 18:17:36 +0900,99
2020-06-14 18:20:57 +0900,98
2020-06-14 18:26:50 +0900,98
2020-06-14 18:32:54 +0900,88
2020-06-14 18:37:32 +0900,103
2020-06-14 18:52:18 +0900,94
2020-06-14 18:55:56 +0900,93
2020-06-14 18:56:01 +0900,93
2020-06-14 18:56:06 +0900,94
2020-06-14 18:56:07 +0900,93
2020-06-14 18:56:12 +0900,97
2020-06-14 18:55:23 +0900,91
2020-06-14 19:03:59 +0900,95
2020-06-14 19:12:17 +0900,95
2020-06-14 19:18:17 +0900,95
